Enterprise ID,Enterprise Name,CSM Name,Customer Type,Customer Subtype,Customer Segment,Region,Stage,Latest Day,# Rooftops,Rooftops,# Agent Types,Agent Types,Final Status/RAG,Final Status/Churned,Usage/# Touched,Usage/# Qualified,Usage/# Appt Booked,Usage/Conv Rate (avg),RoI?/Appt Value ($),RoI?/RoI (Factor avg),RoI?/Report Sent (D/W/M)?,Tickets/# Created,Tickets/# Open,Tickets/Open Ticket Ageing (Hrs avg),Tickets/Avg Resolution hrs,Tickets/Ticket RAG,Communication/RAG,Leadership Connect/MBR,Leadership Connect/Contact Freq,Payment/Rooftops,Payment/Agents,Payment/MRR,Payment/ARR,Payment/Stage,Payment/T1,Payment/T2,Payment/T3,Payment/Score,Vini Data Present?
ef889a294,Bridge Auto Group,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bridge Auto Group,Sales Inbound,$299,$3588,Live,overdue,overdue,paid,Red,No
62f962c8e,CallSource,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,CallSource,Service Inbound,$504,$6045,Churned,paid,paid,no invoice raised,Green,No
b7a9c31a8,I 40 Auto,Unassigned CSM,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,SMB,AMER,Live,"23 May, 2026",1,I 40 Autos,1,Sales Inbound,,,59,52,175,29,$3,0.1,No,0,0,,00:00:00,,,,,I 40 Autos,Sales Inbound,$699,$8388,Live,no invoice raised,no invoice raised,no invoice raised,NA,Yes
d3216c3e4,John Hiester Chevrolet,ankur.batra@spyne.ai,GROUP_DEALER,FRANCHISE_DEALER,Ent,AMER,Live,"22 May, 2026",1,John Hiester Chevrolet,1,Service Inbound,,,3,0,2,1,$0,,No,0,0,,00:00:00,,,,,John Hiester Chevrolet,Service Inbound,$499,$5988,Live,paid,paid,paid,Green,Yes
acb5f83e1,McGrath Acura of Westmont (Mcgrath Imports),abhijeet.mitra@spyne.ai,GROUP_DEALER,FRANCHISE_DEALER,Ent,AMER,Live,"23 May, 2026",1,McGrath Acura of Westmont,1,Sales Inbound,,,1,0,3,1,$0,,No,0,0,,00:00:00,,,,,McGrath Acura,Sales Inbound; Service Inbound,$3000,$36000,Live,overdue,paid,paid,Amber,Yes
21de286e9,Paragon Motors of Woodside Inc dba Paragon Honda,ankur.batra@spyne.ai,GROUP_DEALER,FRANCHISE_DEALER,Ent,AMER,Live,"23 May, 2026",1,Paragon Honda,1,Sales Inbound,,,1,0,4,,$0,,No,0,0,,00:00:00,,,,,Paragon Acura; Paragon Honda,Sales Inbound; Service Inbound; Service Outbound,$5000,$60000,Live,overdue,overdue,overdue,Red,Yes
13c1f7e2b,Warren Chrysler Dodge Jeep Ram,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warren Chrysler Dodge Jeep Ram,Sales Inbound,$419,$5024,Churned,paid,paid,paid,Green,No
a08cdd6df,Worldwide Motors LTD dba Paragon Acura,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Paragon Acura,Service Outbound,$1500,$18000,Live,overdue,overdue,overdue,Red,No
48e021652,Rainbow Motor Sales,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rainbow Motor Sales,Sales Inbound; Sales Outbound,$2150,$25795,Churned,paid,paid,paid,Green,No
dbda6894a,Feldman Chevrolet of Novi,Unassigned CSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feldman Chevrolet of Novi; Feldman Kia of Novi,Sales Inbound,$1500,$18000,Churned,paid,paid,paid,Green,No
