Day,Agent Type,Rooftop ID,Rooftop Name,Enterprise ID,Enterprise Name,Customer Type,Customer Subtype,Customer Segment,CSM Name,Region,Stage,Final Status/RAG,Final Status/Churned,Usage/# Touched,Usage/# Qualified,Usage/# Appt Booked,Usage/Conv Rate,RoI?/Appt Value ($),RoI?/RoI (Factor),RoI?/Report Sent (D/W/M)?,Tickets/# Created,Tickets/# Open,Tickets/Open Ticket Ageing (Hrs),Tickets/Avg Resolution hrs,Tickets/Ticket RAG,Communication/RAG,Leadership Connect/MBR,Leadership Connect/Contact Freq,Payment/Rooftops,Payment/Agents,Payment/MRR,Payment/ARR,Payment/Stage,Payment/T1,Payment/T2,Payment/T3,Payment/Score
"23 May, 2026",Service Inbound,a9e37101ea,Bob King Mazda,e258a7579,Bob King,INDIVIDUAL_DEALER,FRANCHISE_DEALER,Mid,abhijeet.mitra@spyne.ai,AMER,Live,,,2,1,5,3,$0,0.00,No,0,0,0.00,00:00:00,,,,,Bob King Mazda,Service Inbound,$999,$11988,Live,paid,paid,paid,Green
"23 May, 2026",Sales Inbound,49a06313cf,Covina kia,7d06f7427,Brandon Steven Motors,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,1,0,2,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Carson Hyundai; Covina Kia; Honda DTLA; Honda Reseda; Subaru Wichita,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$8000,$96000,Live,paid,no invoice raised,no invoice raised,Green
"23 May, 2026",Service Inbound,49a06313cf,Covina kia,7d06f7427,Brandon Steven Motors,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,6,1,26,20,$3,0.15,No,0,0,0.00,00:00:00,,,,,Carson Hyundai; Covina Kia; Honda DTLA; Honda Reseda; Subaru Wichita,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$8000,$96000,Live,paid,no invoice raised,no invoice raised,Green
"23 May, 2026",Service Inbound,9923577d07,Honda of Downtown Los Angeles,7d06f7427,Brandon Steven Motors,GROUP_DEALER,FRANCHISE_DEALER,Ent,ankur.batra@spyne.ai,AMER,Live,,,33,9,50,32,$13,0.41,No,0,0,0.00,00:00:00,,,,,Carson Hyundai; Covina Kia; Honda DTLA; Honda Reseda; Subaru Wichita,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$8000,$96000,Live,paid,no invoice raised,no invoice raised,Green
"23 May, 2026",Sales Inbound,e4047018-c,Bridgeton Auto Mall,9016eb535,Bridgeton Auto Mall,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,NA,,,1,0,2,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Bridgeton Auto Mall,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$4996,$59952,Churned; Live,overdue,overdue,overdue,Red
"23 May, 2026",Sales Outbound,e4047018-c,Bridgeton Auto Mall,9016eb535,Bridgeton Auto Mall,GROUP_DEALER,FRANCHISE_DEALER,Ent,jaspreet.kaur@spyne.ai,AMER,NA,,,46,5,127,7,$0,0.00,No,0,0,0.00,00:00:00,,,,,Bridgeton Auto Mall,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$4996,$59952,Churned; Live,overdue,overdue,overdue,Red
"23 May, 2026",Sales Inbound,5d2ffea9c0,Brown-Daub Kia,fe7e2e8e5,Brown-Daub Kia,GROUP_DEALER,,Ent,zeeshana.aijaz@spyne.ai,AMER,Live,,,4,4,7,0,$0,0.00,No,0,0,0.00,00:00:00,,,,,Brown Daub Kia,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$2500,$30000,Live,no invoice raised,no invoice raised,no invoice raised,NA
"23 May, 2026",Sales Outbound,5d2ffea9c0,Brown-Daub Kia,fe7e2e8e5,Brown-Daub Kia,GROUP_DEALER,,Ent,zeeshana.aijaz@spyne.ai,AMER,Live,,,0,3,0,1,$0,0.00,No,0,0,0.00,00:00:00,,,,,Brown Daub Kia,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$2500,$30000,Live,no invoice raised,no invoice raised,no invoice raised,NA
"23 May, 2026",Service Inbound,5d2ffea9c0,Brown-Daub Kia,fe7e2e8e5,Brown-Daub Kia,GROUP_DEALER,,Ent,zeeshana.aijaz@spyne.ai,AMER,Live,,,5,3,17,15,$1,0.07,No,0,0,0.00,00:00:00,,,,,Brown Daub Kia,Sales Inbound; Sales Outbound; Service Inbound; Service Outbound,$2500,$30000,Live,no invoice raised,no invoice raised,no invoice raised,NA
"23 May, 2026",Service Inbound,9c9e3d1259,Burns Hyundai,4c65517e7,Burns Hyundai,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,Mid,ritika.agarwal@spyne.ai,AMER,Live,,,23,21,38,32,$4,0.13,No,0,0,0.00,00:00:00,,,,,Burns Hyundai,Service Inbound,$999,$11988,Live,paid,no invoice raised,no invoice raised,Green
