Day	Agent Type	Rooftop ID	Rooftop Name	Enterprise ID	Enterrpise Name	Customer Type	Customer Subtype	Customer Segment	CSM Name	Region	Stage	Final Status/RAG	Final Status/Churned	Usage/# Touched	Usage/# Qualified	Usage/# Appt Booked	Usage/Conv Rate	RoI?/Appt Value ($)	RoI?/RoI (Factor)	RoI?/Report Sent (D/W/M)?	Tickets/# Created	Tickets/# Open	Tickets/Open Ticket Ageing (Hrs)	Tickets/Avg Resolution hrs	Tickets/Ticket RAG	Communication/RAG	Leadership Connect/MBR	Leadership Connect/Contact Freq
26 May, 2026	Sales Inbound	7607d0e6f5	Dream Nissan Lawrence	5b81be4b1	Dream Automotive	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			11	2	0	0.0%	$0	0.25	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	3d3deabc98	Dream Nissan Midwest	5b81be4b1	Dream Automotive	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			11	2	0	0.0%	$0	0.29	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	b4df3297f5	I 40 Autos	b7a9c31a8	I 40 Auto	INDIVIDUAL_DEALER	INDEPENDENT_DEALER	SMB		AMER	Live			9	9	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	8559da8aef	Edwards Chevrolet 280	3884c7156	Edwards Chevrolet Downtown	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			8	2	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	6730ea9132	Dream Nissan Legends	5b81be4b1	Dream Automotive	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			6	1	0	0.0%	$0	Infinity	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	4e24c50b58	Edwards Chevrolet Downtown	3884c7156	Edwards Chevrolet Downtown	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			5	2	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	d6947fc2e0	Edwards Honda	3884c7156	Edwards Chevrolet Downtown	GROUP_DEALER	FRANCHISE_DEALER	Ent	jaspreet.kaur@spyne.ai	AMER	Live			4	3	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	987d7cb5f5	McGrath Acura of Westmont	acb5f83e1	McGrath Acura of Westmont (Mcgrath Imports)	GROUP_DEALER	FRANCHISE_DEALER	Ent	abhijeet.mitra@spyne.ai	AMER	Live			4	1	0	0.0%	$0	0.33	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	7fb99e6ee1	Super Autos Miami	6c19cc7c4	Super Autos Miami	INDIVIDUAL_DEALER		SMB		AMER	Live			3	0	0	0.0%	$0	1.00	No	0	0	0.00	00:00:00				
26 May, 2026	Service Inbound	49a06313cf	Covina kia	7d06f7427	Brandon Steven Motors	GROUP_DEALER	FRANCHISE_DEALER	Ent	ankur.batra@spyne.ai	AMER	Live			3	2	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Sales Inbound	5d2ffea9c0	Brown-Daub Kia	fe7e2e8e5	Brown-Daub Kia	GROUP_DEALER		Ent	zeeshana.aijaz@spyne.ai	AMER	Live			2	0	0	0.0%	$0	0.00	No	0	0	0.00	00:00:00				
26 May, 2026	Service Inbound	9923577d07	Honda of Downtown Los Angeles	7d06f7427	Brandon Steven Motors	GROUP_DEALER	FRANCHISE_DEALER	Ent	ankur.batra@spyne.ai	AMER	Live			2	0	0	0.0%	$0	1.00	No	0	0	0.00	00:00:00				
